2026-08-12 02:42:07 status half-configured libxxhash0:amd64 0.8.3-2
2026-08-12 02:42:07 status installed libxxhash0:amd64 0.8.3-2
2026-08-12 02:42:07 configure libattr1:amd64 1:2.5.2-3 <none>
2026-08-12 02:42:07 status unpacked libattr1:amd64 1:2.5.2-3
2026-08-12 02:42:07 status half-configured libattr1:amd64 1:2.5.2-3
2026-08-12 02:42:07 status installed libattr1:amd64 1:2.5.2-3
2026-08-12 02:42:07 configure sysvinit-utils:amd64 3.14-4 <none>
2026-08-12 02:42:07 status unpacked sysvinit-utils:amd64 3.14-4
2026-08-12 02:42:07 status half-configured sysvinit-utils:amd64 3.14-4
2026-08-12 02:42:07 status installed sysvinit-utils:amd64 3.14-4
2026-08-12 02:42:07 configure debianutils:amd64 5.23.2 <none>
2026-08-12 02:42:07 status unpacked debianutils:amd64 5.23.2
2026-08-12 02:42:07 status half-configured debianutils:amd64 5.23.2
2026-08-12 02:42:07 status installed debianutils:amd64 5.23.2
2026-08-12 02:42:07 configure mawk:amd64 1.3.4.20250131-1 <none>
2026-08-12 02:42:07 status unpacked mawk:amd64 1.3.4.20250131-1
2026-08-12 02:42:07 status half-configured mawk:amd64 1.3.4.20250131-1
2026-08-12 02:42:07 status installed mawk:amd64 1.3.4.20250131-1
2026-08-12 02:42:07 configure libdebconfclient0:amd64 0.280 <none>
2026-08-12 02:42:07 status unpacked libdebconfclient0:amd64 0.280
2026-08-12 02:42:07 status half-configured libdebconfclient0:amd64 0.280
2026-08-12 02:42:07 status installed libdebconfclient0:amd64 0.280
2026-08-12 02:42:07 configure base-files:amd64 13.8+deb13u6 <none>
2026-08-12 02:42:07 status unpacked base-files:amd64 13.8+deb13u6
2026-08-12 02:42:08 status half-configured base-files:amd64 13.8+deb13u6
2026-08-12 02:42:08 status installed base-files:amd64 13.8+deb13u6
2026-08-12 02:42:08 configure libbz2-1.0:amd64 1.0.8-6 <none>
2026-08-12 02:42:08 status unpacked libbz2-1.0:amd64 1.0.8-6
